time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,period_return,target_trade,profit
1576713600,,,,,,7288.05,7149.12,-0.019062712248132257,-1,136.1453357699799
1576800000,7044.45,7371.7,7288.05,7149.12,10503.10731585,7149.13,7190.0,0.005716779524221813,1,41.06254113437568
1576886400,7073.66,7220.0,7149.13,7190.0,6020.22689987,7190.0,7143.01,-0.006535465924895658,-1,46.63621555773275
1576972800,7099.57,7190.0,7190.0,7143.01,3423.26190789,7143.01,7513.06,0.05180589135392505,1,388.83154932542465
1577059200,7125.0,7521.55,7143.01,7513.06,10202.17603024,7514.74,7310.79,-0.02713999419806937,-1,198.21638338512025
1577145600,7259.19,7688.99,7514.74,7310.79,15139.33988185,7310.79,7255.01,-0.007629818391719601,-1,55.299054321379515
1577232000,7151.08,7426.15,7310.79,7255.01,7797.31351736,7255.01,7192.12,-0.008668492531368024,-1,62.282493666197894
1577318400,7115.5,7265.12,7255.01,7192.12,3299.65944044,7192.12,7194.13,0.00027947253382872066,0,0.0
1577404800,7140.0,7432.1,7192.12,7194.13,7669.0329008,7194.13,7245.83,0.007186414479582634,1,52.01946609096564
1577491200,7053.32,7254.0,7194.13,7245.83,8492.97603648,7245.83,7302.67,0.007844511946871531,1,57.228596177001265
1577577600,7232.55,7346.0,7245.83,7302.67,4621.76136294,7302.67,7384.89,0.011258895718963099,1,83.06256069960739
1577664000,7278.07,7531.0,7302.67,7384.89,6557.31229484,7384.57,7218.0,-0.022556492795111932,-1,162.6499522301228
1577750400,7200.0,7386.28,7384.57,7218.0,7347.22088262,7218.01,7165.72,-0.007244378990885294,-1,51.859280231144005
1577836800,7111.0,7298.67,7218.01,7165.72,6755.96883486,7165.72,7174.33,0.0012015540657463134,1,8.611725035125243
1577923200,7136.05,7238.14,7165.72,7174.33,3350.63004888,7174.33,6945.02,-0.0319625665393144,-1,221.75868320300245
1578009600,6903.0,7186.18,7174.33,6945.02,8010.92738748,6945.02,7334.45,0.056073272647162914,1,410.855347952417
1578096000,6854.67,7401.2,6945.02,7334.45,14056.39238489,7334.45,7348.63,0.001933341968382127,1,14.193207374322837
1578182400,7263.32,7398.0,7334.45,7348.63,4742.46620989,7348.63,7355.4,0.0009212601532529909,0,0.0
1578268800,7312.22,7488.87,7348.63,7355.4,5942.01494574,7355.4,7764.63,0.055636675095848014,1,431.56619835292486
1578355200,7343.17,7805.0,7355.4,7764.63,11770.42968139,7764.63,8158.52,0.050728753334028834,1,413.4576771020902
1578441600,7723.0,8216.0,7764.63,8158.52,19857.45754518,8160.01,8045.51,-0.014031845549208886,-1,112.78046033093098
1578528000,7845.0,8469.39,8160.01,8045.51,23927.67532995,8047.75,7813.78,-0.02907272218943186,-1,226.94068733414954
1578614400,7744.48,8048.67,8047.75,7813.78,9477.65983784,7813.78,8198.09,0.04918362175541165,1,402.80854591914584
1578700800,7671.0,8199.77,7813.78,8198.09,13419.69851238,8198.09,8020.0,-0.021723352634577097,-1,174.047066841179
1578787200,8000.01,8290.0,8198.09,8020.0,7557.36879269,8017.47,8180.81,0.02037301043845504,1,166.5010597974924
1578873600,7963.25,8185.0,8017.47,8180.81,3920.74009838,8180.81,8104.5,-0.009327927185694375,-1,75.5225876905836
1578960000,8041.95,8195.81,8180.81,8104.5,6678.02840315,8105.6,8815.69,0.08760486577181209,1,771.5250417967703
1579046400,8105.23,8893.69,8105.6,8815.69,27075.8082207,8812.58,8808.81,-0.0004277975348876761,0,-0.0
1579132800,8550.0,8900.0,8812.58,8808.81,14977.61979023,8808.81,8714.76,-0.010676811056203878,-1,92.95280007424316
1579219200,8580.0,8850.0,8808.81,8714.76,9265.76423506,8714.77,8899.42,0.0211881667559786,1,188.3738325964996
1579305600,8665.67,9013.0,8714.77,8899.42,15447.36512517,8899.42,8909.32,0.0011124320461333027,1,9.901102064179101
1579392000,8800.1,8980.0,8899.42,8909.32,5600.21827844,8908.95,8697.53,-0.02373119166680698,-1,206.19634870634593
1579478400,8465.0,9194.99,8908.95,8697.53,15218.51476182,8697.53,8628.89,-0.007891895745113984,-1,68.03020197578054
