time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,period_return,target_trade,profit
1576803600,126.25,128.64,128.18,127.35,4691.94986519,127.33,126.99,-0.0026702269692924167,-1,0.33875303070761353
1576807200,126.28,127.51,127.33,126.99,1501.35305458,126.91,126.79,-0.0009455519659600531,0,-0.0
1576810800,126.77,127.2,126.91,126.79,1103.38790179,126.78,126.83,0.00039438397223534594,0,0.0
1576814400,126.77,127.07,126.78,126.83,916.4292313,126.82,126.7,-0.000946222993218659,0,-0.0
1576818000,126.54,126.96,126.82,126.7,738.43127246,126.68,125.94,-0.005841490369434868,-1,0.7349416198295006
1576821600,125.71,126.85,126.68,125.94,5368.52504032,125.94,126.34,0.003176115610608271,1,0.40086917579800474
1576825200,125.93,126.62,125.94,126.34,1029.67583965,126.34,127.18,0.006648725660915018,1,0.8447393446256168
1576828800,126.34,127.26,126.34,127.18,1133.12113521,127.18,126.95,-0.0018084604497562821,-1,0.22935447004246345
1576832400,126.48,127.27,127.18,126.95,1380.13410662,126.95,126.78,-0.0013391098857818173,-1,0.16960257896809935
1576836000,126.78,127.36,126.95,126.78,632.12877346,126.78,126.8,0.00015775358889411596,0,0.0
1576839600,126.68,127.15,126.78,126.8,631.73344107,126.79,127.25,0.003628046375897103,1,0.46120723243157347
1576843200,126.79,127.25,126.79,127.25,1237.80630353,127.25,128.29,0.00817288801571703,1,1.0474513037328015
1576846800,127.21,128.47,127.25,128.29,2971.10941341,128.3,128.13,-0.0013250194855807943,-1,0.1696049719407797
1576850400,127.94,128.3,128.3,128.13,972.08874558,128.13,128.66,0.0041364239444314456,1,0.5316601123858592
1576854000,127.12,128.75,128.13,128.66,2211.0178262,128.64,127.35,-0.010027985074626804,-1,1.27578683535447
1576857600,126.6,129.32,128.64,127.35,5698.15090378,127.34,127.7,0.0028270771163813367,1,0.36065673001413484
1576861200,126.9,128.0,127.34,127.7,1754.35202396,127.71,127.99,0.0021924673087463874,1,0.28033327695560367
1576864800,127.44,128.28,127.71,127.99,2827.02836692,128.02,128.05,0.00023433838462741082,0,0.0
1576868400,127.67,128.41,128.02,128.05,1435.62725994,128.05,128.1,0.0003904724716906126,0,0.0
1576872000,127.88,128.23,128.05,128.1,1557.6700358,128.11,128.44,0.002575911326203919,1,0.3305192006868937
1576875600,128.0,128.5,128.11,128.44,879.4336802,128.45,128.15,-0.002335539120280132,-1,0.29900003892563504
1576879200,128.06,128.49,128.45,128.15,1287.33165447,128.18,128.21,0.0002340458729911151,0,0.0
1576882800,127.8,128.36,128.18,128.21,1480.56162558,128.21,128.37,0.0012479525778020168,1,0.16003947274003244
1576886400,127.92,128.38,128.21,128.37,940.17341735,128.36,127.66,-0.005453412277968347,-1,0.6954864287940337
1576890000,127.37,128.45,128.36,127.66,3816.9905999,127.64,127.36,-0.0021936696960200655,-1,0.27910638671263044
1576893600,127.16,127.89,127.64,127.36,1065.66737838,127.36,127.3,-0.0004711055276382088,0,-0.0
1576897200,127.25,127.61,127.36,127.3,622.50122566,127.29,127.45,0.0012569722680493094,1,0.1600409144473216
1576900800,127.19,127.57,127.29,127.45,868.68952443,127.45,127.61,0.001255394272263606,1,0.1600406622204752
