time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,target_return,target_trade
1576713600,,,,,,132.89,128.18,-0.035442847467830385,-1
1576800000,125.68,134.11,132.89,128.18,93934.20288922,128.18,128.37,0.0014822905289436552,1
1576886400,125.71,129.32,128.18,128.37,44379.22091837,128.36,127.09,-0.009894047990028125,-1
1576972800,126.63,128.45,128.36,127.09,25941.74023594,127.16,132.4,0.04120792702107588,1
1577059200,126.89,133.22,127.16,132.4,40439.9594125,132.4,127.78,-0.03489425981873115,-1
1577145600,126.16,135.24,132.4,127.78,62248.12241615,127.75,127.71,-0.0003131115459883073,0
1577232000,126.5,129.5,127.75,127.71,34976.25422744,127.67,125.0,-0.020913292081146718,-1
1577318400,123.16,127.77,127.67,125.0,45117.58085216,125.0,125.49,0.003919999999999959,1
1577404800,124.06,132.06,125.0,125.49,51891.10919615,125.49,126.23,0.005896884213881657,1
1577491200,122.15,126.7,125.49,126.23,39780.97303035,126.23,127.91,0.013309039055691932,1
1577577600,125.8,129.6,126.23,127.91,47036.68791942,127.95,134.3,0.04962876123485743,1
1577664000,127.22,137.85,127.95,134.3,64885.83350862,134.31,131.1,-0.02389993299084214,-1
1577750400,129.79,135.97,134.31,131.1,58811.72784574,131.08,128.54,-0.01937747940189213,-1
1577836800,127.6,133.19,131.08,128.54,85044.39188554,128.54,130.19,0.012836471137389185,1
1577923200,128.12,132.68,128.54,130.19,57512.49500629,130.14,126.81,-0.02558782849239269,-1
1578009600,125.83,130.18,130.14,126.81,49211.56901537,126.81,134.17,0.05803958678337659,1
1578096000,125.52,134.93,126.81,134.17,88651.89284841,134.17,134.14,-0.00022359692926884653,0
1578182400,132.5,135.75,134.17,134.14,31254.84712421,134.14,135.31,0.008722230505442194,1
1578268800,134.14,138.97,134.14,135.31,45353.69311227,135.31,144.19,0.06562707856034287,1
1578355200,134.78,144.51,135.31,144.19,91523.60992709,144.2,143.08,-0.007766990291261971,-1
1578441600,138.79,145.25,144.2,143.08,96525.42253821,143.08,140.6,-0.017332960581492998,-1
1578528000,137.03,148.0,143.08,140.6,101682.09291578,140.64,137.71,-0.020833333333333183,-1
1578614400,135.12,141.38,140.64,137.71,61184.99933797,137.72,144.72,0.05082776648271856,1
1578700800,135.26,145.81,137.72,144.72,137620.99823131,144.89,142.63,-0.015598039892332053,-1
1578787200,142.0,148.0,144.89,142.63,52850.50876755,142.51,146.6,0.02869974036909693,1
1578873600,141.83,146.6,142.51,146.6,35450.66532334,146.55,143.51,-0.020743773456158444,-1
1578960000,142.1,147.0,146.55,143.51,44072.65864059,143.5,165.76,0.15512195121951214,1
1579046400,143.45,170.83,143.5,165.76,258408.61594025,165.74,166.29,0.0033184505852539093,1
1579132800,159.13,172.18,165.74,166.29,165292.68609565,166.27,163.93,-0.014073494917904633,-1
1579219200,158.17,167.28,166.27,163.93,88188.75031049,164.0,169.59,0.03408536585365856,1
1579305600,162.01,174.52,164.0,169.59,134919.66648757,169.54,174.06,0.026660375132712105,1
1579392000,164.92,179.32,169.54,174.06,113052.32285408,174.05,166.75,-0.04194197069807533,-1
1579478400,161.7,178.0,174.05,166.75,113433.68959115,166.67,166.68,5.999880002411548e-05,0
1579564800,161.1,169.3,166.67,166.68,66340.77435099,166.66,169.19,0.015180607224288978,1
1579651200,164.28,170.0,166.66,169.19,61518.4955582,169.29,167.68,-0.009510307755921705,-1
1579737600,165.65,171.05,169.29,167.68,49452.51856158,167.73,162.4,-0.03177726107434558,-1
1579824000,158.44,167.79,167.73,162.4,69309.04423236,162.49,162.3,-0.0011693027263216058,-1
1579910400,154.48,164.21,162.49,162.3,88510.10066684,162.31,160.12,-0.013492699155936157,-1
1579996800,157.4,162.41,162.31,160.12,36677.5237579,160.0,167.35,0.045937499999999964,1
1580083200,159.09,167.59,160.0,167.35,44653.7353865,167.58,169.77,0.013068385248836361,1
1580169600,164.89,171.7,167.58,169.77,84463.87778454,169.78,175.99,0.03657674637766526,1
1580256000,169.78,176.5,169.78,175.99,102264.17475594,175.91,173.45,-0.013984423853106748,-1
1580342400,173.13,178.31,175.91,173.45,85409.92407361,173.41,184.55,0.0642408165619054,1
1580428800,170.0,186.89,173.41,184.55,104426.47390742,184.52,179.74,-0.025905050942987215,-1
1580515200,175.0,185.68,184.52,179.74,108639.77662455,179.72,183.5,0.021032717560649908,1
1580601600,179.0,184.2,179.72,183.5,65650.16851655,183.49,188.29,0.02615946373099342,1
1580688000,178.98,193.52,183.49,188.29,96138.84421015,188.22,189.42,0.00637551801083832,1
1580774400,186.25,195.21,188.22,189.42,89093.19595622,189.41,188.24,-0.0061770761839395364,-1
1580860800,184.29,191.37,189.41,188.24,89059.71463466,188.25,204.0,0.08366533864541832,1
1580947200,186.89,207.93,188.25,204.0,143938.17466042,204.01,212.95,0.04382138130483799,1
1581033600,200.54,216.49,204.01,212.95,162316.43667648,212.94,223.22,0.048276509814971356,1
1581120000,212.94,224.78,212.94,223.22,161651.51487279,223.22,223.37,0.0006719827972404162,0
1581206400,213.24,228.4,223.22,223.37,137475.60159995,223.36,228.8,0.024355300859598843,1
1581292800,223.16,230.9,223.36,228.8,111211.55092349,228.8,222.85,-0.02600524475524483,-1
1581379200,216.31,229.6,228.8,222.85,106485.3898759,222.86,237.98,0.06784528403481996,1
1581465600,217.83,239.92,222.86,237.98,174444.85728588,237.99,266.49,0.11975293079541156,1
1581552000,237.95,276.15,237.99,266.49,293996.34960631,266.63,268.42,0.006713423095675733,1
1581638400,253.75,278.01,266.63,268.42,264197.24736242,268.37,286.27,0.06669896039050556,1
1581724800,260.13,287.98,268.37,286.27,191566.74315799,285.95,264.92,-0.07354432593110674,-1
1581811200,261.35,290.0,285.95,264.92,251243.79219334,264.83,258.5,-0.023902125892081655,-1
1581897600,236.37,274.0,264.83,258.5,248679.14437688,258.58,268.03,0.03654574986464533,1
1581984000,242.36,269.0,258.58,268.03,204959.48476961,268.2,283.31,0.056338553318419145,1
1582070400,259.24,286.87,268.2,283.31,211662.70708459,283.34,258.66,-0.08710383285099157,-1
1582156800,250.0,287.13,283.34,258.66,239803.85463207,258.51,257.4,-0.00429383776256243,-1
1582243200,245.25,264.26,258.51,257.4,203271.5155604,257.2,265.8,0.03343701399688967,1
1582329600,254.1,268.71,257.2,265.8,136892.24699258,265.79,262.08,-0.013958388201211619,-1
1582416000,256.3,267.04,265.79,262.08,63814.59112412,261.94,275.48,0.05169122699854937,1
1582502400,261.53,276.62,261.94,275.48,104405.13989679,275.48,265.31,-0.0369173805720924,-1
1582588800,256.06,278.13,275.48,265.31,197775.66826806,265.53,246.5,-0.07166798478514659,-1
1582675200,244.44,266.24,265.53,246.5,152709.51365655,246.28,223.5,-0.09249634562286828,-1
1582761600,215.33,250.84,246.28,223.5,404352.61565839,223.78,227.63,0.017204397175797633,1
1582848000,209.26,239.0,223.78,227.63,342714.17971542,227.6,227.37,-0.0010105448154656845,-1
1582934400,213.63,234.9,227.6,227.37,258340.98757632,227.13,217.31,-0.04323515167525203,-1
1583020800,216.83,233.32,227.13,217.31,93401.32179224,217.36,217.26,-0.00046006624954003834,0
1583107200,211.5,227.99,217.36,217.26,144339.90935814,217.34,232.12,0.06800404895555351,1
1583193600,215.75,234.5,217.34,232.12,189047.53250784,232.12,223.75,-0.03605893503360333,-1
1583280000,220.0,232.92,232.12,223.75,173987.90547375,223.72,224.56,0.0037546933667084005,1
1583366400,220.39,228.83,223.72,224.56,106846.75811775,224.49,228.64,0.01848634683059369,1
1583452800,224.49,234.47,224.49,228.64,160025.91518532,228.6,245.56,0.07419072615923013,1
1583539200,227.77,245.84,228.6,245.56,140307.21140132,245.53,237.75,-0.031686555614385215,-1
1583625600,236.67,253.01,245.53,237.75,147025.87399131,237.75,199.46,-0.16105152471083067,-1
1583712000,196.0,237.75,237.75,199.46,293962.39516435,199.51,202.77,0.016340033081048668,1
1583798400,189.85,208.65,199.51,202.77,461839.12853606,202.76,200.5,-0.01114618267902935,-1
1583884800,195.17,206.28,202.76,200.5,184956.93858031,200.63,194.61,-0.030005482729402292,-1
1583971200,181.0,202.98,200.63,194.61,240340.20653555,194.62,110.3,-0.4332545473229884,-1
1584057600,101.22,195.64,194.62,110.3,1290935.34805301,110.3,135.51,0.22855847688123296,1
1584144000,90.0,148.0,110.3,135.51,1322282.9798003,135.44,122.17,-0.09797696396928526,-1
1584230400,120.71,135.9,135.44,122.17,284672.85934781,122.11,123.3,0.009745311604291195,1
1584316800,119.84,134.1,122.11,123.3,438391.83520594,123.33,111.38,-0.09689451066245036,-1
1584403200,100.5,123.75,123.33,111.38,891238.58022214,111.36,116.09,0.042474856321839116,1
1584489600,109.66,121.49,111.36,116.09,418552.55664492,116.06,118.6,0.021885231776667173,1
1584576000,110.18,118.88,116.06,118.6,306306.60980115,118.59,136.68,0.15254237288135597,1
1584662400,115.72,144.44,118.59,136.68,486951.21183315,136.65,133.27,-0.024734723746798356,-1
1584748800,115.51,154.0,136.65,133.27,626525.45202553,133.35,132.79,-0.004199475065616815,-1
1584835200,125.84,137.64,133.35,132.79,259380.31056445,132.79,122.42,-0.07809322991189088,-1
1584921600,120.9,137.38,132.79,122.42,261957.09352208,122.31,137.0,0.12010465211348212,1
1585008000,119.2,138.0,122.31,137.0,392334.34456747,137.0,139.0,0.014598540145985401,1
1585094400,133.04,144.16,137.0,139.0,328276.63196021,138.95,136.26,-0.019359481827995666,-1
1585180800,132.5,142.79,138.95,136.26,228043.63383605,136.35,139.0,0.01943527686101948,1
1585267200,133.52,140.36,136.35,139.0,168611.79605607,139.0,131.56,-0.053525179856115095,-1
1585353600,130.0,142.5,139.0,131.56,173786.92012003,131.56,131.35,-0.0015962298570994828,-1
1585440000,125.01,133.8,131.56,131.35,172811.93639922,131.36,124.35,-0.0533647990255787,-1
1585526400,123.72,132.18,131.36,124.35,93067.42014241,124.43,132.32,0.063409145704412,1
1585612800,124.05,135.48,124.43,132.32,154018.23932986,132.3,133.08,0.005895691609977332,1
1585699200,130.45,135.35,132.3,133.08,86613.22974083,133.08,136.14,0.022993688007213506,1
1585785600,128.6,137.4,133.08,136.14,99102.5178578,136.14,141.53,0.0395915968855591,1
1585872000,135.5,150.5,136.14,141.53,214501.14100152,141.48,141.54,0.00042408821034776843,0
1585958400,138.0,146.81,141.48,141.54,120557.4337924,141.48,144.48,0.02120441051738762,1
1586044800,139.04,146.69,141.48,144.48,85410.10645987,144.49,142.79,-0.011765520105197708,-1
1586131200,140.81,145.98,144.49,142.79,64777.90082877,142.79,171.5,0.2010645003151482,1
1586217600,142.79,172.19,142.79,171.5,398555.26124929,171.56,164.57,-0.040743763114945264,-1
1586304000,161.47,176.82,171.56,164.57,533130.95121358,164.54,173.36,0.053603986872493146,1
1586390400,163.49,174.77,164.54,173.36,192588.6023951,173.43,169.75,-0.021218935593611293,-1
1586476800,165.32,173.55,173.43,169.75,165254.80474587,169.71,158.1,-0.06841081845501157,-1
1586563200,152.3,170.39,169.71,158.1,258810.1653336,158.1,158.55,0.0028462998102467872,1
1586649600,154.2,161.5,158.1,158.55,96587.83228092,158.68,158.87,0.0011973783715654002,1
1586736000,155.31,165.45,158.68,158.87,133037.62244785,158.82,156.76,-0.012970658607228324,-1
1586822400,149.7,159.44,158.82,156.76,233848.97745777,156.76,158.65,0.012056647103853119,1
1586908800,155.56,163.0,156.76,158.65,198839.23382124,158.68,152.77,-0.03724476934711367,-1
1586995200,152.17,161.5,158.68,152.77,142489.51028959,152.76,172.55,0.1295496203194555,1
1587081600,148.08,175.2,152.76,172.55,376129.26054849,172.58,170.89,-0.009792559972186962,-1
1587168000,168.5,175.1,172.58,170.89,136537.58680864,170.85,187.88,0.0996780801872988,1
1587254400,170.69,191.22,170.85,187.88,320092.58324239,187.85,180.39,-0.03971253659834979,-1
1587340800,176.53,189.92,187.85,180.39,194900.14018716,180.28,170.5,-0.05424894608386954,-1
1587427200,166.4,186.67,180.28,170.5,280053.96893369,170.39,171.07,0.003990844533129919,1
1587513600,168.44,174.93,170.39,171.07,169875.06657111,171.05,183.11,0.07050570008769366,1
1587600000,170.02,184.41,171.05,183.11,178433.47878367,183.1,185.66,0.01398143091206992,1
1587686400,178.44,194.86,183.1,185.66,271745.32794126,185.65,187.84,0.011796391058443295,1
1587772800,184.97,189.91,185.65,187.84,125300.66822971,187.92,194.42,0.034589186888037464,1
1587859200,185.97,198.2,187.92,194.42,147021.91304917,194.42,197.83,0.017539347803724025,1
1587945600,192.54,200.0,194.42,197.83,134905.32156149,197.8,196.78,-0.005156723963599647,-1
1588032000,189.6,199.41,197.8,196.78,165535.9963748,196.88,196.67,-0.0010666395774075984,-1
1588118400,192.5,197.95,196.88,196.67,105608.41827873,196.64,215.66,0.09672497965825881,1
1588204800,196.64,219.59,196.64,215.66,377357.2932836,215.74,206.23,-0.044080838045795954,-1
1588291200,202.3,227.5,215.74,206.23,410315.64169167,206.22,212.09,0.028464746387353333,1
1588377600,206.18,217.58,206.22,212.09,153088.48477931,212.08,214.25,0.010231987929083305,1
1588464000,210.57,215.59,212.08,214.25,86048.74335239,214.25,210.24,-0.018716452742123645,-1
1588550400,205.28,219.48,214.25,210.24,145164.74879656,210.24,206.86,-0.016076864535768624,-1
1588636800,195.17,210.96,210.24,206.86,209514.67319864,207.02,205.43,-0.007680417350980598,-1
1588723200,201.33,212.17,207.02,205.43,126463.17604265,205.5,199.26,-0.03036496350364968,-1
1588809600,198.18,211.21,205.5,199.26,172142.53654051,199.1,212.47,0.06715218483174287,1
1588896000,196.82,215.99,199.1,212.47,259914.56415047,212.5,211.59,-0.004282352941176454,-1
1588982400,207.2,217.0,212.5,211.59,156564.17053734,211.65,210.0,-0.007795889440113422,-1
1589068800,208.27,214.79,211.65,210.0,120178.88081369,210.06,187.73,-0.10630296105874518,-1
1589155200,180.01,210.06,210.06,187.73,479238.22296594,187.65,185.93,-0.009166000532907002,-1
1589241600,176.43,193.77,187.65,185.93,266403.27205753,185.93,190.1,0.022427795406873487,1
1589328000,185.79,192.89,185.93,190.1,114408.63558372,189.93,199.92,0.052598325698941614,1
1589414400,188.36,201.59,189.93,199.92,145067.37490257,199.92,203.4,0.01740696278511414,1
1589500800,195.7,206.25,199.92,203.4,169935.22065409,203.4,194.7,-0.042772861356932236,-1
1589587200,191.35,204.3,203.4,194.7,145885.04950668,194.66,200.53,0.03015514229939384,1
1589673600,193.24,203.36,194.66,200.53,89046.63238362,200.5,207.05,0.03266832917705741,1
1589760000,199.1,210.0,200.5,207.05,114512.3105608,207.05,214.97,0.03825163004105282,1
1589846400,206.99,216.99,207.05,214.97,163043.28096713,214.86,214.71,-0.0006981290142418583,0
1589932800,209.22,215.84,214.86,214.71,98910.17410947,214.8,209.96,-0.02253258845437618,-1
1590019200,205.1,215.5,214.8,209.96,104103.82197937,209.95,198.62,-0.05396522981662293,-1
1590105600,191.27,211.52,209.95,198.62,179532.29834323,198.61,207.32,0.04385479079603232,1
1590192000,196.12,209.28,198.61,207.32,129598.18331979,207.3,206.66,-0.003087313072841364,-1
1590278400,204.56,211.3,207.3,206.66,67466.85940148,206.61,199.63,-0.03378345675427142,-1
1590364800,199.3,210.67,206.61,199.63,106095.09791687,199.63,204.06,0.022191053448880463,1
1590451200,198.01,205.71,199.63,204.06,81997.29845547,204.13,200.91,-0.01577426150002449,-1
1590537600,196.65,205.03,204.13,200.91,100703.87164821,200.87,208.41,0.037536715288495004,1
1590624000,200.76,208.48,200.87,208.41,77179.58901738,208.41,220.44,0.05772275802504679,1
1590710400,204.5,220.68,208.41,220.44,146497.83268041,220.39,220.62,0.0010436045192613922,1
1590796800,217.52,224.84,220.39,220.62,135620.52543794,220.55,243.84,0.10559963727046018,1
1590883200,218.33,247.36,220.55,243.84,254679.91896954,243.85,231.54,-0.050481853598523696,-1
1590969600,229.46,245.46,243.85,231.54,162582.98189044,231.43,248.41,0.0733699174696452,1
1591056000,230.59,251.46,231.43,248.41,216373.63959941,248.42,237.71,-0.04311247081555422,-1
1591142400,225.6,253.6,248.42,237.71,270793.52134846,237.7,244.6,0.029028186790071544,1
1591228800,233.28,245.39,237.7,244.6,112638.13782506,244.59,243.18,-0.0057647491720838814,-1
1591315200,236.17,246.73,244.59,243.18,159033.0192543,243.18,240.04,-0.012912246072867894,-1
1591401600,238.65,247.9,243.18,240.04,117168.70393642,240.04,241.92,0.007832027995334093,1
1591488000,237.67,244.52,240.04,241.92,60101.61055226,241.92,244.81,0.011946097883597946,1
1591574400,234.48,245.45,241.92,244.81,128372.56725763,244.79,246.55,0.007189836186118793,1
1591660800,240.82,247.97,244.79,246.55,93327.75056481,246.55,244.03,-0.010221050496856662,-1
1591747200,238.91,249.99,246.55,244.03,111405.53181014,244.04,248.16,0.01688247828224883,1
1591833600,242.13,250.56,244.04,248.16,142311.15342422,248.27,230.15,-0.07298505659161399,-1
1591920000,225.2,250.26,248.27,230.15,240083.16277683,230.14,237.53,0.03211088902407237,1
1592006400,227.84,239.54,230.14,237.53,133036.84861839,237.57,238.17,0.002525571410531609,1
1592092800,234.11,238.8,237.57,238.17,46315.99128011,238.18,231.34,-0.028717776471576133,-1
1592179200,229.75,238.59,238.18,231.34,108186.66771876,231.34,230.98,-0.0015561511195643367,-1
1592265600,217.79,234.0,231.34,230.98,240181.57688417,230.96,235.34,0.018964322826463438,1
1592352000,228.78,236.02,230.96,235.34,86465.3143021,235.35,233.71,-0.006968345018058153,-1
1592438400,227.5,237.0,235.35,233.71,89376.40701295,233.69,231.05,-0.011297017416235126,-1
1592524800,227.37,234.5,233.69,231.05,64198.37536142,231.05,228.66,-0.0103440813676694,-1
1592611200,226.43,231.9,231.05,228.66,66279.2578057,228.67,228.8,0.000568504832291179,0
1592697600,225.5,230.67,228.67,228.8,44777.05564533,228.8,227.68,-0.004895104895104915,-1
1592784000,226.86,231.29,228.8,227.68,44083.75435657,227.7,243.23,0.06820377689942908,1
1592870400,227.2,246.95,227.7,243.23,166917.79861423,243.24,243.12,-0.0004933399111988347,0
1592956800,240.73,244.8,243.24,243.12,73617.26296542,243.08,234.44,-0.03554385387526746,-1
1593043200,230.66,249.04,243.08,234.44,145340.38961032,234.44,231.97,-0.010535744753455038,-1
1593129600,227.05,235.24,234.44,231.97,115681.75713751,231.94,229.44,-0.010778649650771752,-1
1593216000,227.3,233.25,231.94,229.44,82611.98976703,229.45,220.76,-0.03787317498365656,-1
1593302400,215.16,231.1,229.45,220.76,131871.65434052,220.74,224.76,0.018211470508290212,1
1593388800,217.35,227.93,220.74,224.76,67155.35599069,224.94,227.81,0.012758957944340734,1
1593475200,220.98,229.98,224.94,227.81,81211.44620718,227.81,225.48,-0.010227821430139205,-1
1593561600,222.93,228.69,227.81,225.48,57678.36075887,225.5,231.03,0.024523281596452333,1
1593648000,224.11,232.77,225.5,231.03,91282.48097,231.15,226.48,-0.020203331170235848,-1
1593734400,222.78,232.15,231.15,226.48,89324.15323347,226.43,225.06,-0.006050435013028329,-1
1593820800,224.31,228.26,226.43,225.06,67562.68650168,224.98,229.34,0.01937950040003562,1
1593907200,224.5,231.04,224.98,229.34,50798.99631699,229.34,227.67,-0.007281765064969111,-1
1593993600,223.5,229.93,229.34,227.67,45635.09435721,227.62,241.65,0.0616378174149899,1
1594080000,227.08,241.99,227.62,241.65,140881.46531449,241.71,239.37,-0.009681022713168686,-1
1594166400,234.55,243.82,241.71,239.37,84359.1623332,239.37,247.14,0.03246020804612099,1
1594252800,237.91,249.0,239.37,247.14,135216.77486401,247.11,242.0,-0.020679049815871528,-1
1594339200,237.04,247.67,247.11,242.0,107698.9573371,242.0,241.2,-0.0033057851239669893,-1
1594425600,235.56,242.12,242.0,241.2,71281.88112286,241.26,239.17,-0.008662853353228896,-1
1594512000,237.43,241.58,241.26,239.17,38867.95249326,239.18,242.81,0.015176854252027742,1
1594598400,236.51,243.9,239.18,242.81,61521.88398572,242.81,239.44,-0.013879164779045362,-1
1594684800,236.97,245.37,242.81,239.44,123671.07492457,239.25,240.43,0.004932079414838064,1
1594771200,236.66,242.01,239.25,240.43,70522.17530535,240.4,238.33,-0.00861064891846919,-1
1594857600,236.36,241.44,240.4,238.33,116172.66592129,238.35,233.41,-0.020725823368995165,-1
