time,low,high,open,close,volume
1576713600,7044.45,7371.7,7288.05,7149.12,10503.10731585
1576800000,7073.66,7220,7149.13,7190,6020.22689987
1576886400,7099.57,7190,7190,7143.01,3423.26190789
1576972800,7125,7521.55,7143.01,7513.06,10202.17603024
1577059200,7259.19,7688.99,7514.74,7310.79,15139.33988185
1577145600,7151.08,7426.15,7310.79,7255.01,7797.31351736
1577232000,7115.5,7265.12,7255.01,7192.12,3299.65944044
1577318400,7140,7432.1,7192.12,7194.13,7669.0329008
1577404800,7053.32,7254,7194.13,7245.83,8492.97603648
1577491200,7232.55,7346,7245.83,7302.67,4621.76136294
1577577600,7278.07,7531,7302.67,7384.89,6557.31229484
1577664000,7200,7386.28,7384.57,7218,7347.22088262
1577750400,7111,7298.67,7218.01,7165.72,6755.96883486
1577836800,7136.05,7238.14,7165.72,7174.33,3350.63004888
1577923200,6903,7186.18,7174.33,6945.02,8010.92738748
1578009600,6854.67,7401.2,6945.02,7334.45,14056.39238489
1578096000,7263.32,7398,7334.45,7348.63,4742.46620989
1578182400,7312.22,7488.87,7348.63,7355.4,5942.01494574
1578268800,7343.17,7805,7355.4,7764.63,11770.42968139
1578355200,7723,8216,7764.63,8158.52,19857.45754518
1578441600,7845,8469.39,8160.01,8045.51,23927.67532995
1578528000,7744.48,8048.67,8047.75,7813.78,9477.65983784
1578614400,7671,8199.77,7813.78,8198.09,13419.69851238
1578700800,8000.01,8290,8198.09,8020,7557.36879269
1578787200,7963.25,8185,8017.47,8180.81,3920.74009838
1578873600,8041.95,8195.81,8180.81,8104.5,6678.02840315
1578960000,8105.23,8893.69,8105.6,8815.69,27075.8082207
1579046400,8550,8900,8812.58,8808.81,14977.61979023
1579132800,8580,8850,8808.81,8714.76,9265.76423506
1579219200,8665.67,9013,8714.77,8899.42,15447.36512517
1579305600,8800.1,8980,8899.42,8909.32,5600.21827844
1579392000,8465,9194.99,8908.95,8697.53,15218.51476182
1579478400,8504.06,8734.84,8697.53,8628.89,5605.80561385
1579564800,8465,8774.31,8628.89,8722.03,7520.65103045
1579651200,8565,8791.76,8722.03,8660.38,5481.36960818
1579737600,8278,8665,8660.38,8385.22,12206.24491133
1579824000,8216.71,8509.99,8385.21,8427.26,8634.96792308
1579910400,8252.73,8437.76,8427.58,8326.81,3783.20831697
1579996800,8278.68,8595,8326.8,8595,5497.32293973
1580083200,8556.6,8985,8595,8895.96,9548.60475006
1580169600,8880.87,9418.91,8895.95,9394.5,17578.54006083
1580256000,9224.75,9439.83,9391.14,9288.44,12233.05063864
1580342400,9171.11,9574.68,9287.9,9503.08,12948.39766745
1580428800,9195.49,9522.5,9502.71,9334.98,9719.06131452
1580515200,9285.01,9458.08,9334.98,9380.18,4387.41986202
1580601600,9140,9480,9380.18,9323.5,7307.92291459
1580688000,9220,9619.95,9325.01,9280.49,11910.28572971
1580774400,9078.05,9350,9280.49,9164.33,8190.74898707
1580860800,9150,9769.7,9164.33,9613.82,13267.06193659
1580947200,9521.47,9857,9613.91,9763.01,12672.13678163
1581033600,9713.99,9885,9763.01,9808.05,8516.62840515
1581120000,9653.47,9955,9807.92,9905.64,8100.97112281
1581206400,9888.76,10178.91,9905.64,10168.35,9649.74938704
1581292800,9736,10199,10168.36,9851.78,13249.58715176
1581379200,9706,10400,9851.78,10270.01,16722.06581913
1581465600,10250,10483.86,10270.01,10351.13,13740.9848527
1581552000,10083.1,10522.51,10351.13,10236.49,17101.28534969
1581638400,10102.5,10395.66,10236.49,10371.33,8026.49620683
1581724800,9750,10400,10371.33,9911.22,12323.28859704
1581811200,9612.12,10048.34,9911.22,9921,9430.32887897
1581897600,9467,9969.38,9920.52,9700,10144.62802455
1581984000,9610.27,10298.25,9700,10188.04,11606.56132767
1582070400,9280.98,10315,10188.04,9600.08,16637.05014888
1582156800,9393.39,9698.1,9593.48,9610.05,12382.01006133
1582243200,9566.98,9769.66,9610.05,9695.66,7073.36617743
1582329600,9575.01,9722.97,9695.66,9668.23,3301.24362823
1582416000,9667.13,10025.66,9668.23,9965.01,5631.93728472
1582502400,9474.74,10030,9965,9660,11274.83220813
1582588800,9230,9681.56,9660,9305,9370.80406077
1582675200,8602,9375.36,9304.99,8778.3,21610.46289952
1582761600,8520,8972.92,8778.3,8812.49,14781.02020263
1582848000,8428.8,8899.94,8814.9,8708.89,13643.28590301
1582934400,8520.67,8799,8708.61,8525.07,5142.70830477
1583020800,8400,8752.34,8523.33,8522.31,7353.13960471
1583107200,8487.33,8973.45,8522.3,8915,10216.69254477
1583193600,8635.31,8927.45,8919.21,8757.84,9152.7069265
1583280000,8670.57,8847,8757.83,8760.66,5688.58509691
1583366400,8759.99,9174.24,8759.99,9070.17,10073.31421239
1583452800,9000.01,9182.08,9070.18,9158.51,6422.12885254
1583539200,8850.47,9214.67,9158.51,8901.37,6478.25334502
1583625600,8002.2,8901.37,8901.36,8037.76,16591.91410216
1583712000,7630,8187.03,8037.73,7934.52,25563.61417462
1583798400,7733.56,8158.25,7934.56,7894.68,17172.47130109
1583884800,7583.27,7987.97,7894.68,7938.05,13647.86513876
1583971200,4644,7969.45,7938.05,4857.1,113902.20332904
1584057600,3858,5995,4857.1,5637.6,130316.64684438
1584144000,5050,5669,5630.93,5165.25,32760.12278053
1584230400,5085.91,5985,5161.16,5345.35,43763.76236813
1584316800,4432.3,5350.3,5346.86,5037.61,80184.03685247
1584403200,4935.6,5569.44,5039.95,5331.71,44347.15487325
1584489600,5001,5452.82,5331.71,5413.64,37513.03523454
1584576000,5261.69,6441.37,5413.88,6186.26,54666.67461085
1584662400,5657,6990,6183.82,6206.1,53024.40103701
1584748800,5851,6470,6210.47,6198.78,23514.96653599
1584835200,5738,6420,6198.64,5818.25,28089.48698286
1584921600,5678.2,6641.03,5815.24,6490.63,42437.97070062
1585008000,6403.16,6866.1,6493.58,6766.64,40618.19870698
1585094400,6470,6983.31,6766,6690.96,31266.36827545
1585180800,6520.13,6795,6691.71,6758.18,17456.11705058
1585267200,6260,6880,6760,6372.36,20458.24402051
1585353600,6030,6372.36,6372.36,6251.82,20353.8748456
1585440000,5870.46,6279.96,6251.45,5877.21,16111.23637843
1585526400,5853,6631.23,5878.98,6406.4,23659.80264153
1585612800,6333.91,6524.79,6406.4,6424.35,11939.0253308
1585699200,6160,6744.99,6424.02,6666.11,17900.2508585
1585785600,6570.92,7292.11,6666.11,6804.52,28761.00804113
1585872000,6606.06,7050,6804.24,6741.99,14953.17963657
1585958400,6658.16,7025.53,6741.99,6874.77,10217.67907796
1586044800,6681,6925,6874.77,6778.25,8962.91059819
1586131200,6773.28,7373.37,6778.64,7341.56,27992.01318781
1586217600,7073,7466,7341.55,7200.01,22743.06622044
1586304000,7154.22,7430,7200.01,7370.11,15429.12191833
1586390400,7110,7377,7370.38,7293.24,12369.84267516
1586476800,6750,7305.91,7293.23,6871.91,19671.19020798
1586563200,6775,6955,6871.83,6889.65,8066.07536876
1586649600,6787.44,7200,6889.78,6908.13,12733.98839119
1586736000,6555,6908.13,6908.12,6861.21,22323.76661709
1586822400,6771.41,6997.38,6860.51,6877.37,12868.6061641
1586908800,6605.89,6940,6876.92,6624.12,14753.81361034
1586995200,6456,7217.27,6623.62,7112.64,28117.55707545
1587081600,7000,7156.66,7114.76,7037.46,13514.57644149
1587168000,7021,7308,7036.45,7261.76,11510.52116868
1587254400,7063.02,7275,7262.04,7130.71,8887.88875146
1587340800,6748.72,7227.11,7130.7,6838.19,18396.60555727
1587427200,6776,6959,6837.22,6853.68,14467.84248756
1587513600,6826,7167.37,6853.67,7136.84,13141.14072302
1587600000,7031.14,7775,7136.81,7488.83,22759.36481812
1587686400,7390,7612.24,7491.5,7514.64,13764.56695369
1587772800,7437.94,7720,7514.99,7547.61,7443.79619621
1587859200,7490,7715,7547.61,7706.4,9292.64077746
1587945600,7635.69,7810.99,7706.4,7789.77,15455.7361195
1588032000,7672,7794.74,7789.77,7755.01,10984.76643504
1588118400,7720,8988,7757.18,8793.75,48689.75030108
1588204800,8407,9478.66,8794.99,8624.28,44843.9646793
1588291200,8622.72,9075.98,8624.68,8829.42,21660.21988892
1588377600,8762.01,9025,8829.42,8985.58,10539.26528999
1588464000,8731.01,9203.52,8984.69,8909.95,17147.65372312
1588550400,8533.98,8970,8907.85,8883.53,18380.62654424
1588636800,8769.69,9126.27,8887.81,9028.79,16392.29936609
1588723200,8922.13,9418,9028.78,9155.79,27650.87868274
1588809600,9028.89,10079,9155.79,10004.77,39447.57511824
1588896000,9730,10049,10000.37,9810,26363.71688893
1588982400,9521,9920.73,9810.01,9537.21,17931.1748552
1589068800,8106.7,9559.98,9537.21,8729.86,50909.84429757
1589155200,8185,9182.66,8729.86,8572.4,39999.37731433
1589241600,8534.85,8982.9,8572.4,8821.42,20219.23699186
1589328000,8803.97,9420.18,8821.41,9321.26,21357.63022841
1589414400,9257.15,9943.93,9320.85,9795.34,28752.36041568
1589500800,9120,9849,9795.34,9312.1,25180.97967322
1589587200,9215.01,9594.99,9312.1,9383.16,10782.32773503
1589673600,9325.81,9896,9380.01,9676.63,13540.66294076
1589760000,9436.97,9957.25,9677.45,9728.52,17710.29958398
1589846400,9463.22,9898,9728.52,9783.76,15229.62610784
1589932800,9294.54,9836.99,9783.57,9509.41,16895.54925055
1590019200,8800,9568,9509.4,9061.96,28081.22890941
1590105600,8923.5,9267.34,9059.32,9168.84,13731.91887098
1590192000,9090.11,9313.83,9168.84,9181.76,6878.84791748
1590278400,8680.7,9306.23,9181.09,8715.73,13004.34567862
1590364800,8632.93,8977,8715.69,8899.31,12328.24203695
1590451200,8694.23,9016.99,8900,8844.42,11507.43097855
1590537600,8811.46,9230,8844.41,9208.53,10936.67835282
1590624000,9112,9625,9208.53,9580.19,14511.07649252
1590710400,9330.01,9609.02,9580.01,9423.84,10415.42644355
1590796800,9326.43,9764,9423.85,9700.33,10509.69814742
1590883200,9369.58,9705.6,9700.32,9446.57,7944.71669301
1590969600,9417.42,10428,9445.83,10208.96,21676.60828748
1591056000,9270,10237.6,10208.96,9522.46,33220.58268645
1591142400,9385.22,9695,9521.53,9668.07,11446.72193696
1591228800,9450,9888,9668.06,9788.03,12441.27298837
1591315200,9585.44,9855,9791.96,9613.21,12495.89785858
1591401600,9526.03,9735.13,9613.42,9671.7,6501.31731671
1591488000,9370,9822,9670.28,9750.12,11628.94527829
1591574400,9632.79,9815,9750.12,9781.51,8533.83614916
1591660800,9567.33,9886,9781.51,9779.41,10329.87714811
