time,low,high,open,close,volume
1576713600,7216.99,7371.7,7288.05,7251.0,1428.92074942
1576717200,7135.0,7255.15,7251.0,7170.01,1722.18116309
1576720800,7140.11,7194.05,7170.01,7157.95,314.66558548
1576724400,7156.24,7179.13,7157.95,7165.41,206.26574841
1576728000,7135.59,7165.42,7165.42,7140.76,231.38385777
1576731600,7115.28,7165.91,7140.76,7153.52,413.27269691
1576735200,7125.0,7165.91,7153.52,7127.12,283.26077281
1576738800,7087.0,7135.44,7127.12,7089.68,351.15668611
1576742400,7073.27,7110.16,7089.69,7076.98,367.4547516
1576746000,7044.45,7148.42,7076.97,7114.5,419.57026957
1576749600,7113.66,7189.02,7113.66,7149.72,323.83615186
1576753200,7121.16,7169.27,7149.73,7142.68,147.65787428
1576756800,7137.13,7215.51,7142.68,7181.3,606.67334023
1576760400,7061.47,7227.48,7181.3,7079.13,753.86311434
1576764000,7067.0,7118.71,7079.12,7117.42,423.34456391
1576767600,7110.02,7170.34,7117.43,7136.01,337.63937251
1576771200,7115.0,7167.61,7136.0,7131.05,420.83225571
1576774800,7107.0,7150.0,7131.04,7125.52,386.83609728
1576778400,7113.34,7164.76,7125.99,7152.06,266.397385
1576782000,7140.0,7179.0,7152.06,7177.01,214.62648873
1576785600,7131.88,7180.0,7177.0,7148.05,224.35551922
1576789200,7130.0,7166.25,7148.48,7154.0,195.72865328
1576792800,7127.44,7159.81,7154.01,7152.8,239.02135316
1576796400,7140.0,7159.73,7152.8,7149.12,224.16286517
1576800000,7080.0,7156.01,7149.13,7118.0,348.15539732
1576803600,7088.77,7125.05,7118.0,7097.48,212.20183789
1576807200,7092.07,7131.95,7097.48,7118.19,184.27013928
1576810800,7115.0,7135.28,7118.19,7125.53,104.08711542
1576814400,7120.0,7134.15,7125.53,7120.79,116.47827133
1576818000,7085.0,7131.83,7120.79,7085.9,336.3692125
1576821600,7073.66,7122.49,7085.9,7106.34,219.59342067
1576825200,7106.3,7152.0,7106.31,7141.6,159.75733689
1576828800,7093.75,7168.48,7141.6,7128.16,222.58351105
1576832400,7122.26,7149.8,7128.16,7126.73,93.18559872
1576836000,7123.0,7140.49,7126.73,7136.15,137.91764958
1576839600,7129.85,7153.0,7136.15,7142.01,112.40255718
1576843200,7132.39,7190.97,7142.01,7182.87,480.44502117
1576846800,7162.82,7185.26,7182.86,7180.0,192.06153256
1576850400,7150.0,7200.0,7180.01,7197.72,360.63866597
1576854000,7140.0,7216.04,7197.71,7150.96,326.519141
1576857600,7126.64,7164.0,7150.96,7160.9,415.53911831
1576861200,7145.43,7189.55,7160.89,7176.66,339.65667979
1576864800,7168.44,7208.86,7176.66,7190.99,489.17278833
1576868400,7182.59,7206.44,7190.99,7189.1,217.79445765
1576872000,7186.58,7220.0,7189.09,7207.35,330.84343445
1576875600,7187.05,7207.35,7207.34,7197.0,261.68590805
1576879200,7177.0,7205.17,7197.0,7188.03,239.89091131
1576882800,7175.51,7190.0,7187.61,7190.0,118.97719345
1576886400,7162.0,7190.0,7190.0,7171.05,167.29751861
1576890000,7155.01,7176.6,7171.05,7165.57,114.32559512
1576893600,7164.56,7179.7,7165.52,7175.64,85.11296555
1576897200,7163.52,7175.64,7175.64,7164.69,71.91895335
1576900800,7151.35,7183.56,7164.68,7153.1,164.75059769
1576904400,7148.23,7166.3,7153.1,7163.37,80.58190147
1576908000,7143.64,7163.37,7163.37,7143.72,99.93554372
1576911600,7132.11,7145.0,7143.72,7136.9,124.61328766
1576915200,7136.08,7144.0,7136.9,7144.0,25.55450433
1576918800,7099.57,7144.0,7144.0,7118.79,456.88667311
1576922400,7118.79,7139.51,7118.79,7139.51,169.33593527
1576926000,7137.94,7157.74,7139.51,7151.8,87.86829602
1576929600,7141.74,7151.81,7151.81,7147.51,161.15546281
1576933200,7124.91,7147.51,7147.5,7129.18,259.34277035
1576936800,7123.37,7140.0,7129.17,7131.52,86.91071527
1576940400,7128.76,7139.63,7131.52,7139.0,116.43115498
1576944000,7131.93,7143.84,7139.0,7143.83,140.29722363
1576947600,7143.83,7154.45,7143.84,7151.0,121.89541993
1576951200,7147.21,7154.25,7151.0,7153.06,91.03928771
1576954800,7140.32,7153.04,7153.03,7147.47,86.74261405
1576958400,7144.74,7158.22,7147.47,7156.32,227.29714849
1576962000,7121.36,7177.5,7156.32,7136.12,270.80152404
1576965600,7130.0,7143.84,7136.12,7143.84,96.37479486
1576969200,7128.3,7144.32,7143.84,7143.01,116.79201987
1576972800,7132.01,7143.01,7143.01,7137.53,66.30655433
1576976400,7137.09,7147.54,7137.52,7146.49,59.12675791
